Company Name;Ticker;Exchange;Sector;Industry;Market Cap (mil);s/o;52W High;52W Low;P;EPS0;EPS1;EPS2;RG;PE0;PE1;PE2;EG1;EG2;PEG1;PEG2;52W Range
Oppenheimer;OPY;NYSE;Finance;Financial - Investment Bank;523,33;10,33;57,94;33,64;50,65;;;;12,41;;;;;;;;72%
Viad Corp;VVI;NYSE;Business Services;Business - Services;684,88;21,16;39,69;23,05;32,36;0,6;1,1;1,48;9,88;53,93;29,42;21,86;83%;35%;0,35;0,63;72%
Knife River Corporation;KNF;NYSE;Construction;Building Products - Miscellaneous;4219,12;56,61;82,05;47,68;74,53;3,07;3,64;4,15;11,66;24,28;20,48;17,96;19%;14%;1,1;1,28;72%
Advanced Drainage Systems;WMS;NYSE;Construction;Building Products - Miscellaneous;10859,48;77,52;179,24;104,18;140,08;6,2;7,18;8,08;-6,4;22,59;19,51;17,34;16%;13%;1,23;1,38;72%
Acuity Brands;AYI;NYSE;Construction;Building Products - Lighting;7456;30,76;271,89;158,08;242,35;15,38;16,5;17,88;-1,35;15,76;14,69;13,55;7%;8%;2,02;1,62;72%
Fulton Financial;FULT;NSDQ;Finance;Banks - Northeast;3267,02;181,9;20,14;11,71;17,96;1,69;1,73;1,87;37,45;10,63;10,38;9,6;2%;8%;4,39;1,19;72%
Bank of Hawaii;BOH;NYSE;Finance;Banks - West;2551,89;39,73;74,46;45,69;64,23;4,28;3,45;3,56;30,74;15,01;18,62;18,04;-19%;3%;-0,96;5,66;63%
Independence Realty Trust;IRT;NYSE;Finance;REIT and Equity Trust - Residential;4437,13;225,12;20,78;12,09;19,71;1,15;1,13;1,22;5,16;17,14;17,44;16,16;-2%;8%;-10,03;2,03;72%
Impala Platinum;IMPUY;OTC;Basic Materials;Mining - Miscellaneous;3744,09;904,37;6,24;3,13;4,14;;;;-23,13;;;;;;;;99%
Glacier Bancorp;GBCI;NYSE;Finance;Banks - West;4917,93;113,39;47,3;27,53;43,37;1,92;1,62;2,23;19,5;22,59;26,77;19,45;-16%;38%;-1,71;0,52;72%
Independent Bank Group;IBTX;NSDQ;Finance;Banks - Southeast;2314,96;41,44;59,59;34,8;55,86;3,31;2,77;3,79;30,63;16,88;20,17;14,74;-16%;37%;-1,24;0,4;71%
Bruker;BRKR;NSDQ;Computer and Technology;Instruments - Scientific;9690,76;151,39;94,27;54,91;64,01;2,53;2,61;3,07;17,14;25,3;24,52;20,85;3%;18%;7,76;1,18;72%
PennyMac Financial Services;PFSI;NYSE;Finance;Financial - Mortgage & Related Services;5458,46;51,19;108,14;63;106,63;4,46;10,54;12,52;-29,41;23,91;10,12;8,52;136%;19%;0,07;0,45;72%
Smith & Wesson Brands;SWBI;NSDQ;Consumer Discretionary;Leisure and Recreation Products;576,35;44,85;18,04;10,51;12,85;;;;11,81;;;;;;;;72%
Denison Mine Corp;DNN;AMEX;Basic Materials;Mining - Miscellaneous;1285,01;892,37;2,42;1,41;1,44;-0,02;-0,06;-0,04;-88,99;-72;-24;-36;200%;-33%;-0,12;1,08;72%
Orion S,A,;OEC;NYSE;Basic Materials;Chemical - Specialty;965,22;58,36;28,31;16,5;16,54;2,13;1,85;2,2;-6,75;7,77;8,94;7,52;-13%;19%;-0,68;0,4;72%
CBIZ;CBZ;NYSE;Business Services;Consulting Services;3447,11;50,16;86,02;50,14;68,72;2,4;2,64;2,93;12,69;28,63;26,03;23,45;10%;11%;2,6;2,14;72%
Frontdoor;FTDR;NSDQ;Construction;Building Products - Miscellaneous;3641,8;76,53;48,6;28,33;47,59;2,12;2,73;2,9;7,1;22,45;17,43;16,41;29%;6%;0,61;2,64;72%
Amphastar Pharmaceuticals;AMPH;NSDQ;Medical;Medical - Generic Drugs;2208,91;48,68;63,45;36,99;45,38;3,35;4,02;4,5;29,14;13,55;11,29;10,08;20%;12%;0,56;0,84;72%
Seacoast Banking Corp, of Florida;SBCF;NSDQ;Finance;Banks - Southeast;2247,38;84,93;29,28;19,59;26,46;1,29;1,44;1,56;72;20,51;18,38;16,96;12%;8%;1,58;2,04;49%
Scorpio Tankers;STNG;NYSE;Transportation;Transportation - Shipping;3600,49;53,17;83,53;48,77;67,71;10,45;12,89;9,73;-14,18;6,48;5,25;6,96;23%;-25%;0,22;-0,28;71%
Allegro MicroSystems;ALGM;NSDQ;Computer and Technology;Electronics - Semiconductors;4124,69;193,92;35,07;20,48;21,27;1,32;0,37;;7,78;16,11;57,49;#DIV/0!;-72%;-100%;-0,8;#DIV/0!;71%
Amalgamated Financial;AMAL;NSDQ;Finance;Financial - SBIC & Commercial Industry;947,81;30,64;32,99;15,57;30,93;2,94;3,29;3,46;37,19;10,52;9,4;8,94;12%;5%;0,79;1,73;112%
Boise Cascade;BCC;NYSE;Construction;Building Products - Wood;4900,56;39,48;153,37;89,62;124,13;12,13;9,76;10,77;-18,47;10,23;12,72;11,53;-20%;10%;-0,65;1,11;71%
China Resources Cement Holdings;CARCY;OTC;Construction;Building Products - Concrete and Aggregates;1540,9;232,76;9,7;3,86;6,62;0,42;0,38;0,65;-27,28;15,76;17,42;10,18;-10%;71%;-1,83;0,14;151%
Denali Therapeutics;DNLI;NSDQ;Medical;Medical - Biomedical and Genetics;3614,92;143,16;25,6;14,96;25,25;-1,01;-2,54;-2,71;204,74;-25;-9,94;-9,32;151%;7%;-0,07;-1,39;71%
MAG Silver;MAG;AMEX;Basic Materials;Mining - Silver;1212,34;103,18;14,1;8,24;11,75;0,44;0,67;0,79;;26,7;17,54;14,87;52%;18%;0,34;0,83;71%
Vermilion Energy;VET;NYSE;Oils-Energy;Oil and Gas - Exploration and Production - International;1442,37;157,29;15,69;9,17;9,17;3,06;0,88;1,53;-44,44;3;10,42;5,99;-71%;74%;-0,15;0,08;71%
Belden;BDC;NYSE;Industrial Products;Wire and Cable Products;4054,43;40,81;107,28;62,73;99,36;6,5;6,04;7,77;-3,62;15,29;16,45;12,79;-7%;29%;-2,32;0,45;71%
Vista Outdoor;VSTO;NYSE;Consumer Discretionary;Leisure and Recreation Products;2236,43;58,41;40,8;23,86;38,29;3,87;3,98;4,42;-10,84;9,89;9,62;8,66;3%;11%;3,38;0,78;71%
Steelcase;SCS;NYSE;Business Services;Business - Office Products;1509,99;114,13;14,49;8,48;13,23;0,78;1;1,19;-2,26;16,96;13,23;11,12;28%;19%;0,47;0,59;71%
Certara;CERT;NSDQ;Medical;Medical - Biomedical and Genetics;1832,52;160,89;19,45;11,39;11,39;0,45;0,42;0,49;5,57;25,31;27,12;23,24;-7%;17%;-4,07;1,39;71%
Utz Brands;UTZ;NYSE;Consumer Staples;Food - Miscellaneous;2490,74;140,88;19,55;11,45;17,68;0,57;0,73;0,85;2,12;31,02;24,22;20,8;28%;16%;0,86;1,27;71%
ConnectOne Bancorp;CNOB;NSDQ;Finance;Banks - Northeast;937,72;38,37;25,31;15,73;24,44;2,09;1,76;2,06;30,25;11,69;13,89;11,86;-16%;17%;-0,88;0,7;61%
Grupo Aval Acciones y Valores;AVAL;NYSE;Finance;Financial - Investment Management;2457,45;1187,17;2,66;1,97;2,07;0,17;0,19;0,33;35,89;12,18;10,89;6,27;12%;74%;0,93;0,09;35%
TripAdvisor;TRIP;NSDQ;Retail-Wholesale;Internet - Commerce;1909,04;138,64;28,56;13,56;13,77;1,13;1,27;1,39;19,84;12,19;10,84;9,91;12%;9%;0,88;1,05;111%
Simpson Manufacturing;SSD;NYSE;Construction;Building Products - Miscellaneous;7205,61;42,16;214,83;125,92;170,9;8,51;8,1;9,14;4,62;20,08;21,1;18,7;-5%;13%;-4,38;1,46;71%
First Financial Bankshares;FFIN;NSDQ;Finance;Banks - Southwest;5028,35;142,85;39,46;23,13;35,2;1,4;1,52;1,63;12,68;25,14;23,16;21,6;9%;7%;2,7;2,98;71%
CarGurus;CARG;NSDQ;Auto-Tires-Trucks;Automotive - Replacement Parts;2814,74;103,37;29;17;27,23;1,23;1,62;1,88;-44,76;22,14;16,81;14,48;32%;16%;0,53;0,9;71%
Cadence Bank;CADE;NYSE;Finance;Banks - Southeast;5583,25;182,22;33,58;19,69;30,64;2,38;2,56;2,79;6,83;12,87;11,97;10,98;8%;9%;1,58;1,22;71%
H&R Block;HRB;NYSE;Consumer Discretionary;Consumer Services - Miscellaneous;8783,25;139,59;66,6;39,07;62,92;4,29;5,08;5,07;3,98;14,67;12,39;12,41;18%;0%;0,67;-63,04;70%
V,F, Corporation;VFC;NYSE;Consumer Discretionary;Textile - Apparel;6880,76;389,18;20,39;11,97;17,68;1,06;0,73;0,94;-9,97;16,68;24,22;18,81;-31%;29%;-0,78;0,65;70%
Valley National Bancorp;VLY;NSDQ;Finance;Banks - Northeast;4134,88;509,22;11,1;6,52;8,12;1,08;0,7;0,96;54,09;7,52;11,6;8,46;-35%;37%;-0,33;0,23;70%
BlackBerry;BB;NYSE;Computer and Technology;Computer - Software;1329,14;590,73;5,51;2,11;2,25;0;-0,05;0,01;30,03;;-45;225;;-120%;;-1,88;161%
Axsome Therapeutics;AXSM;NSDQ;Medical;Medical - Biomedical and Genetics;4425,9;47,5;97,64;57,42;93,19;-4,42;-5,55;-1,21;440,8;-21,08;-16,79;-77,01;26%;-78%;-0,66;0,98;70%
John Wiley & Sons;WLYB;NYSE;Consumer Staples;Publishing - Books;2308,17;54,42;48,19;28,35;42,41;;;;-7,27;;;;;;;;70%
Isuzu Motors;ISUZY;OTC;Auto-Tires-Trucks;Automotive - Foreign;10865,14;750,87;15,13;11,01;14,47;;;;-0,81;;;;;;;;37%
SiriusPoint;SPNT;NYSE;Finance;Insurance - Multi line;2423,35;170,9;15,01;9,6;14,18;;;;30;;;;;;;;56%
American Healthcare REIT Inc;AHR;NYSE;Finance;REIT and Equity Trust - Other;2902,82;131,65;22,09;13;22,05;1,29;1,28;1,4;;17,09;17,23;15,75;-1%;9%;-22,22;1,68;70%
Worthington Enterprises;WOR;NYSE;Conglomerates;Diversified Operations;2154;50,13;73;42,97;42,97;;;;-74,66;;;;;;;;70%
Tuya;TUYA;NYSE;Computer and Technology;Internet - Software;706,14;504,39;2,36;1,39;1,4;0,03;0,08;0,09;10,48;46,67;17,5;15,56;167%;13%;0,11;1,24;70%
HarleyDavidson;HOG;NYSE;Auto-Tires-Trucks;Automotive - Domestic;4800,22;131,62;43,94;25,88;36,47;4,68;4,32;4,76;1,41;7,79;8,44;7,66;-8%;10%;-1,1;0,75;70%
National Health Investors;NHI;NYSE;Finance;REIT and Equity Trust - Other;3576,79;43,46;82,51;48,61;82,31;4,31;4,55;4,69;14,97;19,1;18,09;17,55;6%;3%;3,25;5,7;70%
ITV;ITVPY;OTC;Consumer Discretionary;Broadcast Radio and Television;4039,14;394,45;10,89;7,05;10,24;;;;-2,42;;;;;;;;54%
Centrus Energy;LEU;AMEX;Basic Materials;Mining - Non Ferrous;575,66;16,28;60;35,36;35,36;2,61;3,06;3;8,99;13,55;11,56;11,79;17%;-2%;0,67;-6,01;70%
Altair Engineering;ALTR;NSDQ;Construction;Engineering - R and D Services;7201,74;84,89;100,25;59,11;84,84;1,05;1,24;1,38;7,07;80,8;68,42;61,48;18%;11%;3,78;5,45;70%
Okta;OKTA;NSDQ;Computer and Technology;Internet - Software and Services;12306,51;169,86;111,49;65,76;72,45;1,48;2,57;2,83;21,8;48,95;28,19;25,6;74%;10%;0,38;2,53;70%
Alkami Technology;ALKT;NSDQ;Computer and Technology;Internet - Software;2902,25;98,99;34,1;16,69;29,32;-0,04;0,24;0,53;29,65;-733;122,17;55,32;-700%;121%;-0,17;0,46;104%
Portillo's Inc,;PTLO;NSDQ;Retail-Wholesale;Retail - Restaurants;856;72,97;17,05;8,88;11,73;0,25;0,28;0,37;15,81;46,92;41,89;31,7;12%;32%;3,49;0,99;92%
CorVel;CRVL;NSDQ;Business Services;Business - Services;5228,27;17,13;320,73;189,27;305,19;;;;10,68;;;;;;;;69%
Zillow Group Class A;ZG;NSDQ;Computer and Technology;Internet - Services;11926,33;231,44;58,51;34,53;51,53;1,25;1,42;2,09;-0,66;41,22;36,29;24,66;14%;47%;2,67;0,52;69%
Brink's;BCO;NYSE;Business Services;Outsourcing;4665,41;44,14;111,29;65,71;105,7;6,77;7,51;8,93;7,48;15,61;14,07;11,84;11%;19%;1,29;0,63;69%
American Airlines;AAL;NSDQ;Transportation;Transportation - Airline;7092,4;656,7;15,68;9,26;10,8;2,43;0,97;1,67;7,79;4,44;11,13;6,47;-60%;72%;-0,19;0,09;69%
Acadia Realty Trust;AKR;NYSE;Finance;REIT and Equity Trust - Retail;2337,3;105,33;22,74;13,43;22,19;1,3;1,29;1,34;3,8;17,07;17,2;16,56;-1%;4%;-22,36;4,27;69%
Addus HomeCare;ADUS;NSDQ;Medical;Medical - Outpatient and Home Healthcare;2287,33;18,1;133,58;78,9;126,37;4,36;5,17;5,64;11,31;28,98;24,44;22,41;19%;9%;1,32;2,46;69%
Auna S,A,;AUNA;NYSE;Medical;Medical Services;501,16;73,92;10,66;6,3;6,78;;0,41;0,74;;;16,54;9,16;;80%;;0,11;69%
Cavco Industries;CVCO;NSDQ;Construction;Building Products - Mobile Homes and RV Builders;3321,53;8,25;419,98;248,21;402,45;19,46;17,35;18,31;-16,24;20,68;23,2;21,98;-11%;6%;-2,14;3,97;69%
Yalla Group Limited;YALA;NYSE;Computer and Technology;Internet - Software;648,44;158,54;6,34;3,75;4,09;;;;5,03;;;;;;;;69%
Etsy;ETSY;NSDQ;Retail-Wholesale;Internet - Commerce;6103,67;114,75;87,03;51,5;53,19;2,38;2,38;2,78;7,1;22,35;22,35;19,13;0%;17%;#DIV/0!;1,14;69%
Greencore Group;GNCGY;OTC;Consumer Staples;Food - Miscellaneous;981,85;112,86;8,7;3,5;8,7;0,42;0,54;0,62;5,36;20,71;16,11;14,03;29%;15%;0,56;0,95;149%
SAFEHOLD INC;SAFE;NYSE;Finance;REIT and Equity Trust - Residential;1749,47;71,44;25,61;15,07;24,49;1,43;1,59;1,66;123,08;17,13;15,4;14,75;11%;4%;1,38;3,35;70%
Vipshop;VIPS;NYSE;Computer and Technology;Internet - Delivery Services;6768,81;542,37;19,53;11,56;12,48;2,3;2,26;2,46;6,28;5,43;5,52;5,07;-2%;9%;-3,18;0,57;69%
JC Decaux;JCDXF;OTC;Business Services;Advertising and Marketing;4178,4;213,16;22,3;15,74;19,6;;;;10,11;;;;;;;;42%
J D Wetherspoon;JDWPY;OTC;Retail-Wholesale;Retail - Restaurants;1288,89;24,72;52,13;38,5;52,13;2,79;3,49;3,91;1,82;18,68;14,94;13,33;25%;12%;0,6;1,11;35%
Mativ Holdings;MATV;NYSE;Basic Materials;Chemical - Specialty;978,43;54,33;19,09;11,3;18,01;1,13;0,82;1,8;-6,52;15,94;21,96;10,01;-27%;120%;-0,8;0,08;69%
Xencor;XNCR;NSDQ;Medical;Medical - Drugs;997,7;61,66;26,52;15,7;16,18;-1,31;-4,17;-3,83;2,28;-12,35;-3,88;-4,22;218%;-8%;-0,02;0,52;69%
Jupiter Fund Management PLC;JFHHF;OTC;Finance;Financial - Investment Management;620,14;548,8;1,28;0,96;1,13;;;;;;;;;;;;33%
Silicon Motion Technology;SIMO;NSDQ;Computer and Technology;Electronics - Semiconductors;1917,16;33,68;84,88;50,25;56,92;2,1;3,46;4,74;-32,43;27,1;16,45;12,01;65%;37%;0,25;0,32;69%
New York Mortgage Trust;NYMT;NSDQ;Finance;REIT and Equity Trust;577,9;90,58;9,61;5,69;6,38;-1,23;-0,78;0,64;0,11;-5,19;-8,18;9,97;-37%;-182%;0,22;-0,05;69%
Janus Henderson Group;JHG;NYSE;Finance;Financial - Investment Management;5672,98;159,26;37,61;22,27;35,62;2,37;3,23;3,51;-4,62;15,03;11,03;10,15;36%;9%;0,3;1,17;69%
Embotelladora Andina;AKO,B;NYSE;Consumer Staples;Beverages - Soft drinks;2819,2;157,76;19,57;11,59;17,87;1,24;1,87;1,54;-0,55;14,41;9,56;11,6;51%;-18%;0,19;-0,66;69%
Globus Medical;GMED;NYSE;Medical;Medical - Instruments;9477,14;135,41;73,92;43,79;69,99;2,32;2,84;3,34;106,62;30,17;24,64;20,96;22%;18%;1,1;1,19;69%
Jardine Matheson;JMHLY;OTC;Conglomerates;Diversified Operations;10295,14;290,66;47,83;34,38;35,42;;;;-4,44;;;;;;;;39%
Johnson Matthey;JMPLY;OTC;Basic Materials;Chemical - Diversified ;3647,02;89,26;47,42;35,25;40,86;3,49;4,22;4,89;-10,31;11,71;9,68;8,36;21%;16%;0,46;0,53;35%
Qualys;QLYS;NSDQ;Computer and Technology;Security;4499,41;36,81;205,89;121,97;122,23;5,12;5,57;5,8;13,22;23,87;21,94;21,07;9%;4%;2,5;5,1;69%
United States Steel;X;NYSE;Basic Materials;Steel - Producers;7034,56;224,96;49,59;29,38;31,27;4,31;2,35;2,82;-14,3;7,26;13,31;11,09;-45%;20%;-0,29;0,55;69%
Surgery Partners;SGRY;NSDQ;Medical;Medical Services;3836,6;127,12;35,51;21,05;30,18;0,93;1,07;1,32;8,03;32,45;28,21;22,86;15%;23%;1,87;0,98;69%
Amer Sports;AS;NYSE;Consumer Discretionary;Leisure and Recreation Products;7083,6;505,25;17,66;10,47;14,02;-0,32;0,43;0,65;;-43,81;32,6;21,57;-234%;51%;-0,14;0,42;69%
Stone Energy;TALO;NYSE;Oils-Energy;Oil and Gas - Exploration and Production - United States;1967,28;180,15;16,98;10,07;10,92;0,62;-0,14;0,14;-11,75;17,61;-78;78;-123%;-200%;0,64;-0,39;69%
Jeronimo Martins SGPS;JRONY;OTC;Retail-Wholesale;Retail - Supermarkets;11239,18;314,65;51,69;32,98;35,72;2,69;2,29;2,74;23,83;13,28;15,6;13,04;-15%;20%;-1,05;0,66;57%
J, Sainsbury;JSAIY;OTC;Retail-Wholesale;Retail - Supermarkets;9250,83;589,6;15,92;11,96;15,69;1,06;1,11;1,2;8,27;14,8;14,14;13,08;5%;8%;3;1,61;33%
Grubhub;JTKWY;OTC;Retail-Wholesale;Internet - Commerce;2958,54;1099,83;3,38;2,17;2,69;-0,59;-0,4;-0,25;-4,58;-4,56;-6,73;-10,76;-32%;-38%;0,21;0,29;56%
Klaviyo;KVYO;NYSE;Business Services;Technology Services;7898,85;266,67;36,3;21,53;29,62;0,35;0,48;0,57;47,67;84,63;61,71;51,96;37%;19%;1,66;2,77;69%
First BanCorp,;FBP;NYSE;Finance;Banks - Southeast;3336,31;163,87;21,83;12,95;20,36;1,61;1,76;1,95;25,89;12,65;11,57;10,44;9%;11%;1,24;0,97;69%
Primoris Services;PRIM;NYSE;Construction;Building Products - Heavy Construction;2614,94;53,67;56,47;29,16;48,72;;2,82;3,41;29,29;;17,28;14,29;;21%;;0,68;94%
Sunnova Energy International;NOVA;NYSE;Oils-Energy;Solar;1307,33;124,86;16,05;3,53;10,47;-2,16;-1,8;-2,07;29,22;-4,85;-5,82;-5,06;-17%;15%;0,35;-0,34;355%
Owens Corning;OC;NYSE;Construction;Building Products - Miscellaneous;13663,93;86,95;186,38;110,6;157,15;13,98;15,39;16,04;-0,86;11,24;10,21;9,8;10%;4%;1,01;2,32;69%
WSFS;WSFS;NSDQ;Finance;Financial - Savings and Loan;3024,52;59,27;57,21;33,96;51,03;4,47;4,32;4,47;31,38;11,42;11,81;11,42;-3%;3%;-3,52;3,29;68%
First Horizon;FHN;NYSE;Finance;Banks - Southwest;8220,6;535,89;17,45;10,36;15,34;1,42;1,46;1,56;43,07;10,8;10,51;9,83;3%;7%;3,73;1,44;68%
Conduent;CNDT;NSDQ;Business Services;Outsourcing;586,26;162,4;4,16;2,47;3,61;;-0,53;-0,24;-3,53;;-6,81;-15,04;;-55%;;0,27;68%
TechTarget;TTGT;NSDQ;Computer and Technology;Internet - Content;710,03;28,57;39,66;23,55;24,85;1,67;1,62;1,66;-22,7;14,88;15,34;14,97;-3%;2%;-5,12;6,06;68%
Colliers International Group;CIGI;NSDQ;Finance;Real Estate - Operations;6838,97;48,95;145,4;86,42;139,71;5,27;5,94;7,04;-2,79;26,51;23,52;19,85;13%;19%;1,85;1,07;68%
KimberlyClark de Mexico;KCDMY;OTC;Basic Materials;Paper and Related Products;4883,31;615,03;12,15;7,94;7,94;;;;18,61;;;;;;;;53%
MACOM Technology Solutions;MTSI;NSDQ;Computer and Technology;Semiconductor - Analog and Mixed;6906,53;72,19;118,1;70,24;95,67;2,69;2,56;3,23;-3,96;35,57;37,37;29,62;-5%;26%;-7,73;1,13;68%
Barrett Business Services;BBSI;NSDQ;Business Services;Outsourcing;903,58;26,14;36,66;21,81;34,57;1,77;1,99;2,2;1,42;19,53;17,37;15,71;12%;11%;1,4;1,49;68%
Gildan Activewear;GIL;NYSE;Consumer Discretionary;Textile - Apparel;7144,93;162,31;45,63;27,15;44,02;2,54;2,92;3,29;-1,38;17,33;15,08;13,38;15%;13%;1,01;1,06;68%
Tennant;TNC;NYSE;Industrial Products;Manufacturing - General Industrial ;1729,38;18,9;122,92;73,2;91,48;5,92;6,48;6,73;13,86;15,45;14,12;13,59;9%;4%;1,49;3,52;68%
XP;XP;NSDQ;Finance;Financial - Miscellaneous Services;9989,79;549,49;26,78;15,95;18,18;1,58;1,57;1,8;15,14;11,51;11,58;10,1;-1%;15%;-18,3;0,69;68%
BrightSphere Investment Group;BSIG;NYSE;Finance;Financial - Investment Management;858,85;37,07;26,19;15,6;23,17;1,59;2,31;2,51;2,25;14,57;10,03;9,23;45%;9%;0,22;1,07;68%
Golub Capital BDC;GBDC;NSDQ;Finance;Financial - SBIC & Commercial Industry;2531,6;171,52;17,58;14,06;14,76;1,73;1,92;1,77;55,51;8,53;7,69;8,34;11%;-8%;0,7;-1,07;25%
Kemper;KMPR;NYSE;Finance;Insurance - Multi line;3909,51;64,38;65,76;39,21;60,73;-0,93;5,17;5,93;-11,34;-65,3;11,75;10,24;-656%;15%;-0,02;0,7;68%
Sapiens International;SPNS;NSDQ;Computer and Technology;Computer - Software;1923,84;55,14;41,02;24,47;34,89;1,33;1,48;1,58;8,39;26,23;23,57;22,08;11%;7%;2,09;3,27;68%
Tsakos Energy Navigation Ltd;TEN;NYSE;Transportation;Transportation - Shipping;684,23;29,51;31,38;18,72;23,19;7,02;6,55;10,29;3,39;3,3;3,54;2,25;-7%;57%;-0,53;0,04;68%
Kingfisher;KGFHY;OTC;Retail-Wholesale;Retail - Miscellaneous;6609,94;919,32;7,59;4,8;7,19;0,55;0,49;0,6;0,79;13,07;14,67;11,98;-11%;22%;-1,35;0,53;58%
HBT Financial;HBT;NSDQ;Finance;Banks - Northeast;674,11;31,56;24,46;17,69;21,36;2,09;2,3;2,16;41,15;10,22;9,29;9,89;10%;-6%;0,92;-1,62;38%
Six Flags Entertainment Corporation;FUN;NYSE;Consumer Discretionary;Leisure and Recreation Services;4178,52;100,28;57,63;34,4;41,67;2,86;1,98;3,81;-1,03;14,57;21,05;10,94;-31%;92%;-0,68;0,12;68%
Zillow Group Class C;Z;NSDQ;Finance;Real Estate - Operations;12340,61;231,44;59,47;35,5;53,32;1,25;1,42;2,09;-0,66;42,66;37,55;25,51;14%;47%;2,76;0,54;68%
Klabin;KLBAY;OTC;Basic Materials;Paper and Related Products;4789,25;617,97;9,12;7,18;7,75;1,15;0,4;0,6;-6,95;6,74;19,38;12,92;-65%;50%;-0,3;0,26;27%
The Ensign Group;ENSG;NSDQ;Medical;Medical - Nursing Homes;8512,8;57,11;151,67;90,62;149,05;4,76;5,44;5,99;23,27;31,31;27,4;24,88;14%;10%;1,92;2,46;67%
Taboola,com;TBLA;NSDQ;Computer and Technology;Computers - IT Services;918,12;291,47;4,87;2,91;3,15;0,05;0,03;0,16;2,75;63;105;19,69;-40%;433%;-2,63;0,05;67%
Kunlun Energy;KLYCY;OTC;Oils-Energy;Oil and Gas - Exploration and Production - International;8095,98;865,88;11,77;7,72;9,35;1,1;1,06;1,13;-1,8;8,5;8,82;8,27;-4%;7%;-2,43;1,25;52%
Norwegian Cruise Line;NCLH;NYSE;Consumer Discretionary;Leisure and Recreation Services;7452,77;439,69;21,34;12,76;16,95;0,76;1,58;1,85;76,51;22,3;10,73;9,16;108%;17%;0,1;0,54;67%
Community Financial System;CBU;NYSE;Finance;Financial - Miscellaneous Services;3046,48;52,54;62,82;37,57;57,98;3,43;3,34;3,62;;16,9;17,36;16,02;-3%;8%;-6,62;1,91;67%
Murphy USA;MUSA;NYSE;Oils-Energy;Oil and Gas - Refining and Marketing;10414,34;20,49;519,63;310,99;508,21;24,92;24,47;27,17;-8,17;20,39;20,77;18,7;-2%;11%;-11,5;1,7;67%
BOK Financial;BOKF;NSDQ;Finance;Banks - Southwest;6506,41;64,13;106,79;63,93;101,46;8,49;7,78;8,31;53,9;11,95;13,04;12,21;-8%;7%;-1,56;1,79;67%
Konica Minolta;KNCAY;OTC;Computer and Technology;Office Automation and Equipment;1483,45;247,24;7,14;4,87;6;0,19;0,02;0,83;-3,97;31,58;300;7,23;-89%;4050%;-3,35;0;47%
FB Financial;FBK;NYSE;Finance;Banks - Northeast;2142,17;46,99;48,22;27,59;45,59;2,95;3,25;3,33;25,64;15,45;14,03;13,69;10%;2%;1,38;5,56;75%
Signet Jewelers;SIG;NYSE;Retail-Wholesale;Retail - Jewelry;3432,45;44,61;109,49;65,6;76,95;9,96;10,6;11,76;-8,56;7,73;7,26;6,54;6%;11%;1,13;0,6;67%
Clean Harbors;CLH;NYSE;Business Services;Waste Removal Services;12508,69;53,97;245,9;147,34;231,76;6,76;7,65;8,57;4,69;34,28;30,3;27,04;13%;12%;2,3;2,25;67%
Astronics;ATROB;OTCBB;Aerospace;Aerospace - Defense Equipment;670,71;34,84;23,23;13,5;19,25;;;;28,85;;;;;;;;72%
Loar Holdings Inc,;LOAR;NYSE;Aerospace;Aerospace - Defense Equipment;6142;89,7;76,68;46;68,47;;0,44;0,77;;;155,61;88,92;;75%;;1,19;67%
REX American Resources;REX;NYSE;Oils-Energy;Biofuels;752,58;17,57;59,9;35,94;42,84;3,02;2,6;2,27;-2,53;14,19;16,48;18,87;-14%;-13%;-1,18;-1,49;67%
TOPGOLF CALLAWY;MODG;NYSE;Consumer Discretionary;Leisure and Recreation Products;1874,81;183,8;16,73;10,04;10,2;0,41;0,18;0,03;7,24;24,88;56,67;340;-56%;-83%;-1,01;-4,08;67%
Keppel;KPELY;OTC;Transportation;Transportation - Shipping;8554,35;903,02;11,22;8,85;9,47;;;;8,02;;;;;;;;27%
Mesa Laboratories;MLAB;NSDQ;Medical;Medical - Instruments;638,07;5,41;140,86;84,55;117,96;8,39;10,04;10,64;-1,32;14,06;11,75;11,09;20%;6%;0,6;1,86;67%
Kinsale Capital Group;KNSL;NYSE;Finance;Insurance - Property and Casualty;10746,68;23,29;547,98;328,95;461,5;12,07;15,31;18,16;49,47;38,24;30,14;25,41;27%;19%;1,12;1,37;67%
Keppel REIT;KREVF;OTC;Finance;REIT and Equity Trust - Other;2601,64;3782,55;0,74;0,55;0,69;;;;9,1;;;;;;;;35%
Vir Biotechnology;VIR;NSDQ;Medical;Medical - Biomedical and Genetics;1060,32;136,64;12,66;7,6;7,76;-4,61;-3,26;-3,53;-94,67;-1,68;-2,38;-2,2;-29%;8%;0,08;-0,27;67%
Janus International Group;JBI;NYSE;Construction;Building Products - Miscellaneous;1512,8;145,32;15,42;9,26;10,41;0,95;0,86;0,89;4,6;10,96;12,1;11,7;-9%;3%;-1,28;3,35;67%
Sanmina;SANM;NSDQ;Computer and Technology;Electronics - Manufacturing Services;3511,59;54,65;75,33;45,24;64,26;;5,24;6,16;13,24;;12,26;10,43;;18%;;0,59;67%
Surmodics;SRDX;NSDQ;Medical;Medical - Products;553,99;14,27;42,24;25,39;38,83;-0,22;-0,47;0,14;32,65;-176,5;-82,62;277,36;114%;-130%;-0,73;-2,14;66%
